"Inequality in life expectancy (%)"
"HDI Rank (2018)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"71","Sri Lanka","12.3","","9.4","","9.4","","8.3","","8.3","","8.1","","7.1"," a","7.1"," a","7.0",""
"168","Sudan","38.5","","33.0","","33.0","","32.8","","32.8","","31.8","","27.9"," a","27.9"," a","27.4",""
"98","Suriname","16.7","","15.0","","15.0","","13.6","","13.6","","13.6","","12.4"," a","12.4"," a","12.8",""
"8","Sweden","3.7","","3.3","","3.3","","3.1","","3.1","","3.3","","2.7"," a","2.7"," a","2.9",""
"2","Switzerland","4.4","","4.1","","4.1","","3.9","","3.9","","3.8","","3.5"," a","3.5"," a","3.5",""
"154","Syrian Arab Republic","11.1","","10.0","","10.0","","12.6","","12.6","","14.5","","13.0"," a","13.0"," a","13.0",""
"125","Tajikistan","31.0","","27.2","","27.2","","29.3","","29.3","","23.2","","20.1"," a","20.1"," a","16.7",""
"159","Tanzania (United Republic of)","37.5","","32.4","","32.4","","30.4","","30.4","","25.0","","24.9"," a","24.9"," a","25.3",""
"77","Thailand","9.5","","10.1","","10.1","","9.8","","9.8","","10.4","","9.3"," a","9.3"," a","7.9",""
"131","Timor-Leste","34.3","","30.2","","30.2","","22.8","","22.8","","24.4","","20.6"," a","20.6"," a","21.7",""
"167","Togo","35.4","","37.2","","37.2","","36.8","","36.8","","32.4","","30.5"," a","30.5"," a","30.5",""
"105","Tonga","14.5","","13.8","","13.8","","13.7","","13.7","","13.6","","13.0"," a","13.0"," a","10.4",""
"63","Trinidad and Tobago","17.4","","16.6","","16.6","","16.4","","16.4","","16.6","","15.6"," a","15.6"," a","14.9",""
"91","Tunisia","12.7","","12.6","","12.6","","10.6","","10.6","","12.2","","10.7"," a","10.7"," a","9.0",""
"59","Turkey","16.5","","12.8","","12.8","","11.0","","11.0","","11.5","","9.6"," a","9.6"," a","9.0",""
"108","Turkmenistan","27.5","","26.7","","26.7","","26.0","","26.0","","26.0","","23.4"," a","23.4"," a","23.4",""
"159","Uganda","40.7","","39.1","","39.1","","33.8","","33.8","","35.7","","32.5"," a","32.5"," a","27.2",""
"88","Ukraine","11.0","","10.5","","10.5","","10.4","","10.4","","8.7","","7.5"," a","7.5"," a","7.4",""
"35","United Arab Emirates","7.4","","6.3","","6.3","","5.5","","5.5","","5.8","","5.2"," a","5.2"," a","5.2",""
"15","United Kingdom","4.9","","4.8","","4.8","","4.5","","4.5","","4.5","","4.0"," a","4.0"," a","4.1",""
"15","United States","6.0","","6.6","","6.6","","6.2","","6.2","","6.1","","5.6"," a","5.6"," a","6.3",""
"57","Uruguay","10.1","","9.3","","9.3","","9.2","","9.2","","9.5","","9.0"," a","9.0"," a","7.9",""
"108","Uzbekistan","25.9","","24.3","","24.3","","24.3","","24.3","","24.3","","17.0"," a","17.0"," a","13.9",""
"141","Vanuatu","..","","15.6","","15.6","","15.4","","15.4","","15.4","","14.1"," a","14.1"," a","14.4",""
"96","Venezuela (Bolivarian Republic of)","13.3","","12.2","","12.2","","12.2","","12.2","","11.4","","10.5"," a","10.5"," a","17.1",""
"118","Viet Nam","13.8","","13.4","","13.4","","12.1","","12.1","","14.2","","12.7"," a","12.7"," a","12.9",""
"177","Yemen","31.2","","25.1","","25.1","","30.3","","30.3","","29.4","","24.9"," a","24.9"," a","24.7",""
"143","Zambia","46.5","","41.9","","41.9","","37.2","","37.2","","33.8","","28.8"," a","28.8"," a","26.5",""
"150","Zimbabwe","34.2","","30.6","","30.6","","26.8","","26.8","","31.2","","26.6"," a","26.6"," a","24.2",""
"36","Andorra","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Dominica","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"73","Saint Kitts and Nevis","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"18","Liechtenstein","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"117","Marshall Islands","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"55","Palau","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development"," ","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","6.9","","6.5","","6.5","","5.9","","5.9","","5.9","","5.2","","5.2","","5.2",""
" ","High human development","16.0","","14.2","","14.2","","12.1","","12.1","","11.8","","10.3","","10.3","","10.0",""
" ","Medium human development","30.6","","26.7","","26.7","","24.9","","24.9","","24.5","","21.7","","21.8","","20.5",""
" ","Low human development","44.1","","39.1","","39.1","","36.7","","36.7","","34.8","","31.3","","31.3","","30.4",""
" ","Developing Countries","24.7","","21.8","","21.8","","19.9","","20.0","","19.5","","17.3","","17.4","","16.6",""
"","Regions"," ","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","20.1","","17.6","","16.6","","17.4","","17.4","","18.0","","15.7","","15.7","","15.0",""
" ","East Asia and the Pacific","16.1","","14.3","","14.2","","11.6","","11.6","","11.2","","10.0","","10.0","","9.8",""
" ","Europe and Central Asia","16.8","","14.8","","14.9","","14.3","","14.3","","13.3","","10.9","","10.9","","9.7",""
" ","Latin America and the Caribbean","15.2","","13.4","","13.4","","13.3","","13.3","","14.0","","12.1","","12.1","","11.6",""
" ","South Asia","30.5","","26.9","","26.9","","24.5","","24.5","","24.0","","21.4","","21.5","","20.2",""
" ","Sub-Saharan Africa","43.9","","39.0","","39.0","","36.8","","36.8","","35.0","","30.8","","30.8","","29.7",""
" ","Least Developed Countries","39.3","","34.8","","34.7","","32.6","","32.6","","30.7","","27.1","","27.2","","26.3",""
" ","Small Island Developing States","22.5","","17.4","","17.5","","16.9","","16.9","","17.4","","16.1","","16.1","","16.6",""
" ","Organization for Economic Co-operation and Development","6.4","","6.0","","6.0","","5.6","","5.6","","5.8","","5.2","","5.2","","5.3",""
" ","World","21.3","","19.0","","19.0","","17.4","","17.5","","17.1","","15.2","","15.2","","14.7",""
"a: Calculated by HDRO from the 2015-2020 period life tables from UNDESA (2019b)."
""
